bid,name
1,Genesis
2,Exodus
3,Leviticus
4,Numbers
5,Deuteronomy
6,Joshua
7,Judges
8,Ruth
9,1Samuel
10,2Samuel
11,1Kings
12,2Kings
13,1Chronicles
14,2Chronicles
15,Ezra
16,Nehemiah
17,Esther
18,Job
19,Psalms
20,Proverbs
21,Ecclesiastes
22,Solomon
23,Isaiah
24,Jeremiah
25,Lamentations
26,Ezekiel
27,Daniel
28,Hosea
29,Joel
30,Amos
31,Obadiah
32,Jonah
33,Micah
34,Nahum
35,Habakkuk
36,Zephaniah
37,Haggai
38,Zechariah
39,Malachi
40,Matthew
41,Mark
42,Luke
43,John
44,Acts
45,Romans
46,1Corinthians
47,2Corinthians
48,Galatians
49,Ephesians
50,Philippians
51,Colossians
52,1Thessalonians
53,2Thessalonians
54,1Timothy
55,2Timothy
56,Titus
57,Philemon
58,Hebrews
59,James
60,1Peter
61,2Peter
62,1John
63,2John
64,3John
65,Jude
66,Revelation
1,gen
1,gn
2,exd
2,exo
2,exod
2,ex
3,lev
4,num
4,nu
5,deu
5,deut
6,jos
6,josh
7,jdg
7,judg
8,rth
8,ruth
9,1sa
9,1sam
10,2sa
10,2sam
11,1ki
11,1king
12,2ki
12,2king
13,1ch
13,1chr
13,1chron
14,2ch
14,2chr
14,2chron
15,ezr
15,ez
16,neh
17,est
17,es
18,job
19,ps
19,psa
19,psalm
20,pro
20,prov
21,ecc
22,sg
22,sgs
22,song
23,isa
23,is
24,jer
25,lam
26,ez
26,eze
26,ezek
27,dan
28,hsa
28,hos
28,ho
29,joe
29,joel
30,am
30,amo
30,amos
31,ob
31,oba
31,obad
32,jon
33,mi
33,mic
34,na
34,nah
35,hab
36,zep
36,zeph
37,hag
38,zec
38,zech
39,mal
40,mat
40,matt
41,mar
41,mk
42,luk
42,lk
43,jhn
43,joh
43,jn
44,act
45,rom
46,1co
46,1cr
46,1cor
47,2co
47,2cr
47,2cor
48,gal
49,eph
50,phl
50,phil
51,col
52,1th
52,1thes
53,2th
53,2thes
54,1ti
54,1tim
55,2ti
55,2tim
56,tts
56,tit
57,phm
57,phile
58,hbr
58,heb
59,jam
59,jas
60,1pe
60,1pet
61,2pe
61,2pet
62,1jo
62,1jn
62,1john
63,2jo
63,2jn
63,2john
64,3jo
64,3jn
64,3john
65,jud
66,rev
